DESKTOP-76744F9\pflat | smartscreen.exe открыт в 24.05.2022 22:47:29
unknown | IdeaIntelligen закрыт в 24.05.2022 22:47:29
unknown | IdeaIntelligentCoolingMetrics.exe открыт в 24.05.2022 22:47:29
unknown | conhost.exe открыт в 24.05.2022 22:47:29
unknown | conhost.exe закрыт в 24.05.2022 22:47:30
NT AUTHORITY\СИСТЕМА | SearchFilterHost.exe открыт в 24.05.2022 22:47:31
unknown | SearchFilterHo закрыт в 24.05.2022 22:47:31
unknown | Discord.exe закрыт в 24.05.2022 22:47:38
unknown | IdeaIntelligentCoolingMetrics.exe открыт в 24.05.2022 22:48:10
unknown | conhost.exe открыт в 24.05.2022 22:48:10
unknown | IdeaIntelligen закрыт в 24.05.2022 22:48:11
unknown | conhost.exe закрыт в 24.05.2022 22:48:11
unknown | control.exe открыт в 24.05.2022 22:48:51
unknown | control.exe закрыт в 24.05.2022 22:48:51
DESKTOP-76744F9\pflat | explorer.exe открыт в 24.05.2022 22:48:51
DESKTOP-76744F9\pflat | dllhost.exe открыт в 24.05.2022 22:48:52
unknown | dllhost.exe закрыт в 24.05.2022 22:48:58
unknown | IdeaIntelligentCoolingMetrics.exe открыт в 24.05.2022 22:49:19
unknown | IdeaIntelligen закрыт в 24.05.2022 22:49:19
unknown | conhost.exe открыт в 24.05.2022 22:49:20
unknown | conhost.exe закрыт в 24.05.2022 22:49:20
unknown | explorer.exe закрыт в 24.05.2022 22:49:52
